요구사항 ID,대분류,요구사항 명칭,상세 요구사항 내용,우선순위
REQ-SD-01,기준정보,매장 중심 이력 통합 관리,매장 관리 Key를 '사업자번호'에서 '매장코드'로 전환하여 사업자 변경 시에도 데이터 연속성 유지,상
REQ-SD-02,기준정보,정보 등록 오류 방지 로직,신규 매장/종사업장 등록 시 AIS 시스템 데이터 자동 호출 및 맵핑을 통한 휴먼 에러 방지,중
REQ-ST-01,정산관리,EDI 데이터 자동 수집/대사,유통망 EDI 데이터와 FA-ONE 판매 현황 간 1차 자동 대사 로직 구축 (다수 브랜드 분리 포함),상
REQ-ST-02,정산관리,정산 차액 직관적 조정,원단위 끝전 차액 조정을 위한 '가품번' 활용 전용 조정 화면 신설 및 반자동화 프로세스 도입,상
REQ-ST-03,정산관리,재고 재매입 로직 재설계,공급미수 허수 제거를 위한 기존 '재고 재매입' 로직의 근본적 분석 및 타사 벤치마킹 기반 재설계,중
REQ-FE-01,비용관리,공제 항목 표준 룰 엔진,하드코딩된 공제 로직을 제거하고 항목별(택배비/로스 등) 산정 룰 사전 설정(Pre-set)화,상
REQ-FE-02,회계연동,세금계산서 자동 역발행,정산 확정 시 AIS 연동 및 외부 시스템(트러스빌 등) 연동을 통한 세금계산서 자동 역발행,중
REQ-AR-01,채권관리,미수금 실시간 모니터링,매입사별 입금 예정일/계좌 매핑을 통한 차액 자동 체크 및 고액 미수 발생 시 로그인 팝업 통제,상
REQ-IM-01,재고관리,직영 매장 다이렉트 수불,자가소모 발생 시 물류센터 우회 없이 매장에서 직접 재고를 차감하는 프로세스 구현 (전자결재 연동),상
REQ-IM-02,재고관리,다년차 재고 조회 최적화,DB 최적화를 통해 시즌/연도별 장기 재고 조회 성능 개선 및 시스템 멈춤 현상 해결,중
,,,,
※ 근거,,,,
차세대패션관리시스템PI - 현업 (영업관리) 1차 인터뷰,,,,
차세대패션관리시스템PI - 현업(영업관리) 2차 인터뷰,,,,
